JA,JB,length,DGC_AB,DGC_BA,EGC_AB,EGC_BA,AB capacity,BA capacity,DFFTT_AB,DFFTT_BA,EFFTT_AB,EFFTT_BA
82,2600717,14.40362849,7.545883184,0.266527365,6.221635044,0.536835977,112000,89600,31237.34415,1556.84408,30598.50377,3217.015038
83,2600005,3.266968274,0.684105564,0.019917621,0.563504136,0.019546897,156799.9973,125439.9978,2831.960211,118.7843978,2771.358989,117.1674178
84,2600004,8.400775342,0.155449477,0.639713365,0.313103973,0.518655196,156799.9973,125439.9978,908.0140722,2648.191878,1876.292535,2550.788509
86,1701769,3.540556877,0.269597325,0.065515109,0.218579114,0.131959042,112000,89600,1116.039596,382.6879469,1074.990098,790.7746804
90,1700564,1.416222712,0.005811073,1.990967915,0.005267186,1.644480711,492800.0108,492800.0108,34.65598477,8241.917937,31.61505656,8087.688991
91,3100091,3.283061699,4.668726751,0.013471123,3.85739064,0.012221567,156799.9973,125439.9978,19326.91253,80.33887275,18970.95878,73.28944836
92,1900188,9.816998247,0.155663795,0.155663795,0.15674293,0.15674293,112000,89600,794.9074218,794.9074218,877.3348381,877.3348381
93,94,3.315248548,1.341866911,0.04878333,1.020823822,0.047959445,112000,89600,5554.864484,290.9332608,5020.494086,287.4119841
95,228,12.3436686,0.181635029,0.373969595,0.178573605,0.302581347,112000,89600,1083.232133,1548.104665,1070.121359,1488.120416
95,94,6.260348329,0.092119983,1.742259645,0.090566155,1.434998052,112000,89600,549.3837119,7212.351795,542.7343103,7057.436434
96,1800158,15.36923551,0.284395133,2.549406519,0.572825062,2.099509866,112000,89600,1661.213585,10553.66044,3432.680994,10325.55928
97,3900498,1.287475219,0.126738021,0.005282794,0.102317031,0.004787573,134400.0054,107520.0043,524.6515341,31.50544134,503.2037055,28.7409611
98,2600562,5.069433753,0.153504334,0.045284495,0.124201272,0.043780999,156799.9973,125439.9978,635.4548043,270.0669629,610.8327969,262.3781576
98,3900122,2.059960274,0.023214812,0.023214812,0.021754899,0.021754899,112000,89600,103.6496442,103.6496442,114.6790581,114.6790581
100,2600252,14.74159079,2.13336443,0.216920054,1.706520589,0.213264152,112000,89600,8831.390213,1293.664416,8392.806296,1278.0067
102,5500296,8.867485808,0.036385242,4.731592445,0.033024761,3.902981092,134400.0054,107520.0043,216.9937331,19587.15475,197.9533749,19195.17634
103,5500022,0.917326068,0.00376399,0.581307593,0.003408687,0.478916778,134400.0054,107520.0043,22.44762633,2406.412198,20.47793421,2355.351441
105,5500035,5.858012329,9.066173903,0.05232875,7.508119855,0.050591326,134400.0054,107520.0043,37530.82144,312.0773789,36925.53995,303.1925372
106,2700014,4.425696,0.045537914,0.045537914,0.037414693,0.037414693,537600.0213,537600.0213,188.5111979,188.5111979,184.0111193,184.0111193
106,5500520,0.402336,1.033687383,0.001650873,0.851880592,0.001490237,156799.9973,125439.9978,4279.107924,9.845450274,4189.617574,8.981550211
110,1900207,12.79428449,0.114289434,11.15080959,0.110499152,9.193479757,112000,89600,681.5975359,46160.49151,662.1924569,45214.2761
110,2700057,10.3963623,0.092869153,1.724500698,0.08978856,1.420175734,112000,89600,553.8515992,7138.835903,538.0834465,6984.539142
111,2700063,2.462296274,1.533563198,0.015011803,1.262935833,0.014731079,112000,89600,6348.420751,89.52715651,6211.220486,88.30844748
112,2700064,4.313042027,0.026295186,1.74578933,0.025807461,1.328104884,112000,89600,156.8188169,7226.963472,154.6840847,6531.727174
112,4600010,11.90914575,3.314502298,0.072606109,2.729966389,0.071268781,112000,89600,13720.8921,433.0071758,13426.19532,427.1127659
115,2700528,16.38312241,2.003713708,0.09988246,1.609733352,0.09804473,112000,89600,8294.681109,595.6774494,7916.798881,587.568653
116,5500576,3.218688,4.204014347,0.013206984,3.465990107,0.011981761,156799.9973,125439.9978,17403.16406,78.7636022,17046.01934,71.85240169
117,1900265,33.61919518,4.11194109,0.49470086,3.303430036,0.486366147,112000,89600,17022.01264,2950.289228,16246.53599,2914.580747
118,3100115,41.89122543,8.772360045,0.171888897,7.225880976,0.15604537,537600.0213,537600.0213,36314.53378,1025.10831,35537.46646,935.1590328
118,4600134,0.933419493,0.003830025,0.407873721,0.003468639,0.336302814,156799.9973,125439.9978,22.84144398,1688.456009,20.83719589,1653.964465
121,2700139,1.786371863,0.762462418,0.007329876,0.628317474,0.006646072,492800.0108,492800.0108,3156.330461,43.71379978,3090.116156,39.87808345
122,3100201,34.08590641,0.139861959,27.89168412,0.12696886,19.69884928,537600.0213,537600.0213,834.1065592,115461.9168,760.9169448,96880.53202
122,5600092,17.13951299,14.21806908,0.070327186,11.70870148,0.06383986,537600.0213,537600.0213,58857.884,419.4161668,57584.33972,382.6140254
123,3100250,20.7283509,0.38356118,26.65343993,0.772564352,21.9661308,112000,89600,2240.463951,110336.0144,4629.626251,108031.2057
125,3100335,12.3436686,0.050648783,5.136356233,0.045974297,4.230175343,537600.0213,537600.0213,302.0584174,21262.73671,275.5539632,20804.34411
126,3100117,1.947306301,0.017394997,1.697160857,0.016814984,1.399253782,112000,89600,103.7400081,7025.658427,100.7865305,6881.643158
126,5600018,21.75833162,9.287081794,0.19436393,7.653148545,0.18792065,112000,89600,38445.30364,1159.144556,37638.80281,1126.143716
127,800298,2.768071726,0.024726772,7.385802586,0.023903845,6.092349467,156799.9973,125439.9978,147.4651333,30574.66589,143.2668016,29962.66681
128,4000001,32.38000263,4.686011328,0.19741013,3.74843327,0.193783192,112000,89600,19398.4647,1177.311436,18435.09781,1161.285013
129,2000361,0.692017932,0.012805226,0.923998522,0.025791307,0.762198547,112000,89600,74.79809838,3825.034013,154.560505,3748.554043
129,4000139,37.93223759,19.87204204,0.701905033,16.38463806,1.413769449,112000,89600,82263.37474,4099.979362,80580.97353,8472.072078
130,800221,24.89655211,0.151786016,4.130846405,0.148996081,3.401891541,156799.9973,125439.9978,905.2190595,17100.2741,892.8965566,16730.77756
130,4900186,42.27746762,0.25775169,10.21779043,0.253017747,8.017104475,156799.9973,125439.9978,1537.175482,42298.11519,1516.250326,39428.76753
131,3500153,3.395715671,0.049967391,11.60285444,0.049123561,9.637647631,156799.9973,125439.9978,297.9947412,48031.80072,294.3879966,47398.72956
132,2000383,5.101620603,0.045572016,3.177382709,0.044058453,2.616671095,112000,89600,271.7816721,13153.26447,264.044049,12868.99986
132,4000048,23.68954411,0.211615163,6.592731464,0.204600322,5.430048312,112000,89600,1262.027189,27291.626,1226.09728,26705.41632
133,4800815,1.931212877,0.017251236,1.83721293,0.016675987,1.5180808,134400.0054,107520.0043,102.8826535,7605.425527,99.9535848,7466.044027
134,3500135,1.094353932,0.455362295,0.004490375,0.375024827,0.004068155,537600.0213,537600.0213,1885.042266,26.77962504,1844.402456,24.42981684
134,4801375,0.724204781,0.004415236,0.600763488,0.004328913,0.494733864,156799.9973,125439.9978,26.33151642,2486.952868,25.97307259,2433.141138
135,4000241,13.1483406,0.398084934,0.053950529,0.320257028,0.04897551,156799.9973,125439.9978,1647.933818,321.7493179,1575.050847,293.5170636
136,500059,8.320308603,1.20423971,0.034140053,0.963294472,0.030986407,134400.0054,107520.0043,4985.135517,203.6039147,4737.560217,185.7384611
137,10059,5.648797425,2.468376675,0.104526376,2.035243527,0.210535158,112000,89600,10218.22494,610.5612094,10009.49213,1261.645028
138,10059,4.361322301,0.080702702,5.608045237,0.162549745,4.621808213,112000,89600,471.4019673,23215.36589,974.0906215,22730.42615
138,770,2.896819123,0.053603269,1.205419458,0.107966329,0.992753811,112000,89600,313.108305,4990.019267,646.9974346,4882.443499
139,4000248,15.288768,1.164319072,0.224971676,0.94398602,0.221180156,112000,89600,4819.877895,1341.682551,4642.599861,1325.443653
141,500176,3.942892877,9.747150636,0.016178555,8.02559867,0.014679581,156799.9973,125439.9978,40349.82937,96.48541457,39470.54256,88.01919379
141,4000249,18.3143349,6.451802063,0.075147738,4.958476937,0.068216327,156799.9973,125439.9978,26708.22706,448.1649009,24386.19019,408.8401696
143,2200314,11.3297817,0.127735291,0.127735291,0.119706651,0.119706651,134400.0054,107520.0043,570.3133555,570.3133555,631.0136832,631.0136832
143,4801029,1.866838986,1.141624764,0.016676194,0.836259678,0.016119996,134400.0054,107520.0043,4725.931318,99.45322489,4112.792697,96.62179199
144,400113,1.544970205,0.561160055,0.006339352,0.462353988,0.005746798,537600.0213,537600.0213,2323.008367,37.8065282,2273.894333,34.48915203
149,3200010,63.98751474,84.83687269,0.262554825,69.96906441,0.238358851,156799.9973,125439.9978,351195.2842,1565.820346,344113.5107,1428.425685
149,4900164,0.627644137,0.002575362,0.192784341,0.002329559,0.149426585,156799.9973,125439.9978,15.35890187,798.0604357,14.01121782,734.8921083
150,3300001,15.30486181,10.30660277,0.225208494,8.503686044,0.221412984,112000,89600,42665.76753,1343.094881,41821.81491,1326.838889
151,2300104,10.5251097,1.745837287,0.094019235,1.437746661,0.090900537,156799.9973,125439.9978,7227.161998,560.7104361,7070.954381,544.7470123
152,5000034,1.882932411,0.027707037,1.77621246,0.02723815,1.467349972,112000,89600,165.2387923,7352.904696,163.2388439,7216.54572
153,3300066,0.24140161,0.003552185,0.791620363,0.003490151,0.656699239,112000,89600,21.18446221,3277.034262,20.92805854,3229.699914
154,3600061,15.03127321,0.134272121,12.63365111,0.12981978,10.40707323,156799.9973,125439.9978,800.7699679,52298.9421,777.9720503,51182.82683
155,2500077,17.8315314,0.073166689,1.358105575,0.066417779,1.101101565,156799.9973,125439.9978,436.3503532,5622.086933,398.0623027,5415.306803
156,3300015,7.097206794,0.104434216,0.540461319,0.102672973,0.438185483,156799.9973,125439.9978,622.8231414,2237.322763,615.2848743,2155.03196
157,2500068,5.149900877,2.747778125,0.095294704,2.266575479,0.191940813,112000,89600,11374.85022,556.6370099,11147.20134,1150.217709
158,900100,10.17105436,0.149665372,6.220169513,0.147142276,4.55636202,112000,89600,892.5719952,25749.34849,881.7688543,22408.55651
158,2500150,6.936272548,0.102066096,6.179540989,0.10034474,5.097566479,112000,89600,608.7001807,25581.16047,601.3328492,25070.24374
159,2500175,8.787018301,0.129299511,0.865087803,0.127119449,0.698395645,156799.9973,125439.9978,771.1143977,3581.16403,761.7813046,3434.766479
160,2500199,7.596103342,0.14055968,0.34630046,0.283113088,0.314382503,112000,89600,821.0395407,1659.104922,1696.57102,1690.016321
161,5000008,11.02400625,10.02380005,0.162216417,8.272951059,0.159481917,112000,89600,41495.06219,967.4237208,40687.04161,955.7146208
162,3600773,5.970666301,0.053335071,5.680122538,0.051564306,4.693461364,134400.0054,107520.0043,318.078861,23513.74097,309.0231572,23082.82214
163,4200549,1.094353932,0.016103236,0.562235028,0.015829798,0.463350065,112000,89600,96.03622574,2327.458382,94.8738625,2278.793101
164,3400380,10.60557721,0.094738039,5.556078141,0.091595526,4.581025395,492800.0108,492800.0108,564.9972297,23000.24011,548.9117609,22529.85299
166,3600030,3.331341973,2.967879107,0.013669228,2.448233357,0.012401421,156799.9973,125439.9978,12285.99209,81.52032565,12040.60944,74.36723336
167,3700312,3.122127452,0.102679678,0.102679678,0.118656771,0.118656771,112000,89600,579.910385,579.910385,695.7031855,695.7031855
168,3700183,14.87033819,3.593562794,0.132834512,2.819596097,0.128429802,112000,89600,14876.10595,792.1963808,13867.00148,769.6425531
175,596,0.692017932,0.012805226,1.049152674,0.025791307,0.868342727,112000,89600,74.79809838,4343.128877,154.560505,4270.579694
176,3700086,11.95742564,1.730681728,0.221262382,1.384405442,0.445663687,112000,89600,7164.423228,1292.441508,6808.617986,2670.661641
177,5100019,26.94041819,0.240654736,11.50227259,0.232677767,9.47867207,156799.9973,125439.9978,1435.21294,47615.42667,1394.352433,46616.87497
178,49,0.466709747,0.006867556,1.931884665,0.00674968,1.615552214,112000,89600,40.95662409,7997.333735,40.46091038,7945.416295
179,2100463,2.269174986,7.47416578,0.020270202,6.201131567,0.019594929,156799.9973,125439.9978,30940.45893,120.8871102,30497.66596,117.4454547
179,5100463,20.35820099,50.09890824,0.181856772,27.53037259,0.175827875,156799.9973,125439.9978,207392.1369,1084.554563,135396.5962,1053.6773
180,5400476,0.144840966,0.608142059,0.001293843,0.508846271,0.001247287,156799.9973,125439.9978,2517.497598,7.716199026,2502.547072,7.496518872
181,5400050,11.42634225,0.102069811,28.62765257,0.098684384,23.57866349,156799.9973,125439.9978,608.7223344,118508.5714,591.3920121,115961.7717
182,2100114,0.949512918,2.72126167,0.00389606,2.248809813,0.00352859,537600.0213,537600.0213,11265.08127,23.23526162,11059.82832,21.19645756
182,5400403,1.770278438,2.750479991,0.007263841,2.278056111,0.00658612,537600.0213,537600.0213,11386.035,43.31998214,11203.66399,39.51882178
