<NUMBER OF ZONES> 132											
<NUMBER OF NODES> 28290											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 56130
<END OF METADATA>											
											
											
~	Init Node	Term Node	capacity	length	free flow time	B	power	SpeedLimit	Toll	Type	;
	117	1900265	112000	33.61919518	0.00411184	1	4	0	0	1	;
	118	3100115	537600.0213	41.89122543	0.008772144	1	4	0	0	1	;
	118	4600134	156799.9973	0.933419493	3.82989E-06	1	4	0	0	1	;
	121	2700139	492800.0108	1.786371863	0.000762444	1	4	0	0	1	;
	122	3100201	537600.0213	34.08590641	0.000139857	1	4	0	0	1	;
	122	5600092	537600.0213	17.13951299	0.014217719	1	4	0	0	1	;
	123	3100250	112000	20.7283509	0.000383548	1	4	0	0	1	;
	125	3100335	537600.0213	12.3436686	5.0647E-05	1	4	0	0	1	;
	126	3100117	112000	1.947306301	1.73944E-05	1	4	0	0	1	;
	126	5600018	112000	21.75833162	0.009286853	1	4	0	0	1	;
	127	800298	156799.9973	2.768071726	2.47259E-05	1	4	0	0	1	;
	128	4000001	112000	32.38000263	0.004685896	1	4	0	0	1	;
	129	2000361	112000	0.692017932	1.28048E-05	1	4	0	0	1	;
	129	4000139	112000	37.93223759	0.019871552	1	4	0	0	1	;
	130	800221	156799.9973	24.89655211	0.000151781	1	4	0	0	1	;
	130	4900186	156799.9973	42.27746762	0.000257743	1	4	0	0	1	;
	131	3500153	156799.9973	3.395715671	4.99656E-05	1	4	0	0	1	;
	132	2000383	112000	5.101620603	4.55704E-05	1	4	0	0	1	;
	132	4000048	112000	23.68954411	0.000211608	1	4	0	0	1	;
	133	4800815	134400.0054	1.931212877	1.72506E-05	1	4	0	0	1	;
	134	3500135	537600.0213	1.094353932	0.000455351	1	4	0	0	1	;
	134	4801375	156799.9973	0.724204781	4.41508E-06	1	4	0	0	1	;
	135	4000241	156799.9973	13.1483406	0.000398075	1	4	0	0	1	;
	136	500059	134400.0054	8.320308603	0.00120421	1	4	0	0	1	;
	137	10059	112000	5.648797425	0.002468316	1	4	0	0	1	;
	138	10059	112000	4.361322301	8.06999E-05	1	4	0	0	1	;
	138	770	112000	2.896819123	5.36014E-05	1	4	0	0	1	;
	139	4000248	112000	15.288768	0.00116429	1	4	0	0	1	;
	141	500176	156799.9973	3.942892877	0.00974691	1	4	0	0	1	;
	141	4000249	156799.9973	18.3143349	0.006451643	1	4	0	0	1	;
	143	2200314	134400.0054	11.3297817	0.000127732	1	4	0	0	1	;
	143	4801029	134400.0054	1.866838986	0.001141597	1	4	0	0	1	;
	144	400113	537600.0213	1.544970205	0.000561146	1	4	0	0	1	;
	149	3200010	156799.9973	63.98751474	0.084834782	1	4	0	0	1	;
	149	4900164	156799.9973	0.627644137	2.57527E-06	1	4	0	0	1	;
	150	3300001	112000	15.30486181	0.010306349	1	4	0	0	1	;
	151	2300104	156799.9973	10.5251097	0.001745794	1	4	0	0	1	;
	152	5000034	112000	1.882932411	2.77061E-05	1	4	0	0	1	;
	153	3300066	112000	0.24140161	3.55206E-06	1	4	0	0	1	;
	154	3600061	156799.9973	15.03127321	0.000134267	1	4	0	0	1	;
	155	2500077	156799.9973	17.8315314	7.31641E-05	1	4	0	0	1	;
	156	3300015	156799.9973	7.097206794	0.000104431	1	4	0	0	1	;
	157	2500068	112000	5.149900877	0.00274771	1	4	0	0	1	;
	158	900100	112000	10.17105436	0.00014966	1	4	0	0	1	;
	158	2500150	112000	6.936272548	0.000102062	1	4	0	0	1	;
	159	2500175	156799.9973	8.787018301	0.000129295	1	4	0	0	1	;
	160	2500199	112000	7.596103342	0.000140555	1	4	0	0	1	;
	161	5000008	112000	11.02400625	0.010023553	1	4	0	0	1	;
	162	3600773	134400.0054	5.970666301	5.33332E-05	1	4	0	0	1	;
	163	4200549	112000	1.094353932	1.61027E-05	1	4	0	0	1	;
	164	3400380	492800.0108	10.60557721	9.47347E-05	1	4	0	0	1	;
	166	3600030	156799.9973	3.331341973	0.002967806	1	4	0	0	1	;
	167	3700312	112000	3.122127452	0.000102676	1	4	0	0	1	;
	168	3700183	112000	14.87033819	0.003593474	1	4	0	0	1	;
	175	596	112000	0.692017932	1.28048E-05	1	4	0	0	1	;
	176	3700086	112000	11.95742564	0.001730639	1	4	0	0	1	;
	177	5100019	156799.9973	26.94041819	0.000240646	1	4	0	0	1	;
	178	49	112000	0.466709747	6.86731E-06	1	4	0	0	1	;
	179	2100463	156799.9973	2.269174986	0.007473982	1	4	0	0	1	;
	179	5100463	156799.9973	20.35820099	0.050097674	1	4	0	0	1	;
	180	5400476	156799.9973	0.144840966	0.000608127	1	4	0	0	1	;
	181	5400050	156799.9973	11.42634225	0.000102066	1	4	0	0	1	;
	182	2100114	537600.0213	0.949512918	0.002721195	1	4	0	0	1	;
	182	5400403	537600.0213	1.770278438	0.002750412	1	4	0	0	1	;
	183	3900528	537600.0213	1.158727726	0.000420885	1	4	0	0	1	;
	185	1800102	156799.9973	6.083320274	2.49603E-05	1	4	0	0	1	;
	186	2600020	156799.9973	19.39259551	0.000118226	1	4	0	0	1	;
	187	2600025	492800.0108	7.338608548	0.000558802	1	4	0	0	1	;
	187	3900678	492800.0108	0.997793288	4.09402E-06	1	4	0	0	1	;
	189	1300391	134400.0054	18.9741657	0.000115675	1	4	0	0	1	;
	190	189	134400.0054	23.5447029	0.000242349	1	4	0	0	1	;
	190	1300113	134400.0054	5.809731671	3.54187E-05	1	4	0	0	1	;
	192	1300526	112000	15.17611441	0.005345869	1	4	0	0	1	;
	195	1300175	134400.0054	0.675924459	2.77337E-06	1	4	0	0	1	;
	196	37	537600.0213	2.703697836	1.10935E-05	1	4	0	0	1	;
	199	4700135	156799.9973	11.90914575	0.00012275	1	4	0	0	1	;
	200	3700359	156799.9973	27.84164997	0.008556385	1	4	0	0	1	;
	205	2100192	156799.9973	8.931859507	3.66481E-05	1	4	0	0	1	;
	206	2100412	112000	0.836858849	1.54849E-05	1	4	0	0	1	;
	207	2100413	537600.0213	0.756391678	3.10353E-06	1	4	0	0	1	;
	208	2100310	134400.0054	0.305775356	5.65793E-06	1	4	0	0	1	;
	208	4700203	134400.0054	0.466709747	0.000309885	1	4	0	0	1	;
	210	2100002	112000	18.53964362	0.007714638	1	4	0	0	1	;
	211	2900034	156799.9973	25.0092057	0.000757319	1	4	0	0	1	;
	212	500086	156799.9973	52.80257885	0.000543295	1	4	0	0	1	;
	212	2900225	156799.9973	6.855805808	0.002414969	1	4	0	0	1	;
	213	4000072	112000	15.6267303	0.000515537	1	4	0	0	1	;
	214	500021	537600.0213	2.703697836	0.001153978	1	4	0	0	1	;
	216	215	156799.9973	10.34808164	0.004188386	1	4	0	0	1	;
	218	2200226	134400.0054	33.71575803	0.001021034	1	4	0	0	1	;
	220	1800465	156799.9973	22.9975257	0.000205426	1	4	0	0	1	;
	220	2600012	156799.9973	4.731471452	0.000684682	1	4	0	0	1	;
	221	1701166	492800.0108	4.473976274	0.000647421	1	4	0	0	1	;
	223	1701160	134400.0054	12.95521951	0.002148875	1	4	0	0	1	;
	225	1700564	156799.9973	0.144840966	0.000491318	1	4	0	0	1	;
	227	1900346	112000	19.53743671	0.000642322	1	4	0	0	1	;
	227	2700041	112000	9.977932493	0.000454783	1	4	0	0	1	;
	229	93	112000	11.00791321	0.002092585	1	4	0	0	1	;
	230	1900395	112000	1.754185014	0.00145515	1	4	0	0	1	;
	232	2900371	134400.0054	0.514990068	0.000763246	1	4	0	0	1	;
	234	2700621	112000	18.02465249	0.001373825	1	4	0	0	1	;
	234	4600063	112000	3.025566712	4.45191E-05	1	4	0	0	1	;
	235	2700117	112000	38.624256	0.000714685	1	4	0	0	1	;
	235	4600116	112000	42.26137381	0.052994681	1	4	0	0	1	;
	237	2700121	134400.0054	2.848538849	0.000280401	1	4	0	0	1	;
	237	3800021	134400.0054	1.078260507	0.000448659	1	4	0	0	1	;
	238	2700147	112000	1.721998164	0.000435516	1	4	0	0	1	;
	239	2700552	112000	1.255288274	0.000262856	1	4	0	0	1	;
	239	3800094	112000	15.40142159	0.001516095	1	4	0	0	1	;
	241	3100374	537600.0213	8.336401644	3.42049E-05	1	4	0	0	1	;
