NodeJID,FAF4 Zone,Zone Name,zoneName_Long
4600084,460,South Dakota,South Dakota
4700133,471,Memphis TN-MS-AR (TN Part),"Knoxville-Morristown-Sevierville, TN  CFS Area "
4700005,472,Nashville TN,"Memphis, TN-MS-AR  CFS Area (TN Part)"
4700026,473,Knoxville TN,"Nashville-Davidson--Murfreesboro, TN  CFS Area "
4700273,479,Rest of TN,Rest of TN
4801135,481,Austin TX,"Corpus Christi-Kingsville-Alice, TX  CFS Area "
4800056,482,Beaumont TX,"Dallas-Fort Worth, TX-OK  CFS Area (TX Part)"
4800749,483,Corpus Christi TX,"El Paso-Las Cruces, TX-NM  CFS Area (TX Part)"
4800131,484,Dallas-Fort Worth TX-OK (TX Part),"Houston-The Woodlands, TX  CFS Area "
4800234,485,El Paso TX-NM (TX Part),"Austin-Round Rock, TX  CFS Area "
4800153,486,Houston TX,"Beaumont-Port Arthur, TX  CFS Area "
4800119,487,Laredo TX,"Laredo, TX   CFS Area "
4800213,488,San Antonio TX,"San Antonio-New Braunfels, TX  CFS Area "
4800176,489,Rest of TX,Rest of TX
4900183,491,Salt Lake City UT,"Salt Lake City-Provo-Orem, UT  CFS Area "
4900084,499,Rest of UT,Rest of UT
5000010,500,Vermont,Vermont
5100093,511,Richmond VA,"Virginia Beach-Norfolk, VA-NC  CFS Area (VA Part)"
5100081,512,Virginia Beach-Norfolk VA-NC (VA Part),"Richmond, VA  CFS Area "
5100450,513,Washington DC-VA-MD-WV (VA Part),"Washington-Arlington-Alexandria, DC-VA-MD-WV  CFS Area (VA Part)"
5100408,519,Rest of VA,Rest of VA
5300598,531,Seattle WA,"Portland-Vancouver-Salem, OR-WA  CFS Area (WA Part)"
5300198,532,Portland OR-WA (WA Part),"Seattle-Tacoma, WA  CFS Area "
5300215,539,Rest of WA,Rest of WA
5400246,540,West Virginia,West Virginia
5500121,551,Milwaukee WI,"Milwaukee-Racine-Waukesha, WI  CFS Area "
5500039,559,Rest of WI,Rest of WI
5600082,560,Wyoming,Wyoming
